,title,date,max_temp,min_temp
0,New Year’s Day,2017-01-02,7.7275,-1.585
1,Good Friday,2017-04-14,16.075714285714287,3.678
2,Easter Monday,2017-04-17,15.525,4.133333333333334
3,Early May bank holiday,2017-05-01,18.255,6.859999999999999
4,Spring bank holiday,2017-05-29,25.15,13.23
5,Summer bank holiday,2017-08-28,28.353333333333335,13.14
6,Christmas Day,2017-12-25,11.564,3.315
7,Boxing Day,2017-12-26,11.028,3.0
8,New Year’s Day,2018-01-01,10.575,3.9619999999999997
9,Good Friday,2018-03-30,9.798,2.478
10,Easter Monday,2018-04-02,11.92,1.5766666666666669
11,Early May bank holiday,2018-05-07,28.064999999999998,8.826666666666666
12,Spring bank holiday,2018-05-28,26.3475,11.003333333333332
13,Summer bank holiday,2018-08-27,21.349999999999998,10.959999999999999
14,Christmas Day,2018-12-25,10.695,0.6775
15,Boxing Day,2018-12-26,10.445,1.3075
16,New Year’s Day,2019-01-01,10.5325,1.0599999999999998
17,Good Friday,2019-04-19,22.84,6.135
18,Easter Monday,2019-04-22,25.490000000000002,6.1
19,Early May bank holiday,2019-05-06,16.45,4.7
20,Spring bank holiday,2019-05-27,20.65,9.83
21,Summer bank holiday,2019-08-26,32.235,11.55
22,Christmas Day,2019-12-25,10.52,1.295
23,Boxing Day,2019-12-26,11.59,2.015
24,New Year’s Day,2020-01-01,12.79,1.45
25,Good Friday,2020-04-10,23.375,5.57
26,Easter Monday,2020-04-13,18.564999999999998,4.494999999999999
27,Early May bank holiday (VE day),2020-05-08,24.605,7.39
28,Spring bank holiday,2020-05-25,25.125,11.56
29,Summer bank holiday,2020-08-31,20.634999999999998,9.06
30,Christmas Day,2020-12-25,9.76,0.95
31,Boxing Day,2020-12-28,8.0,0.89
32,New Year’s Day,2021-01-01,5.145,-1.425
33,Good Friday,2021-04-02,14.37,1.83
34,Easter Monday,2021-04-05,13.91,0.35
35,Early May bank holiday,2021-05-03,15.2,3.295
36,Spring bank holiday,2021-05-31,24.119999999999997,7.43
37,Summer bank holiday,2021-08-30,22.835,11.07
38,Christmas Day,2021-12-27,10.989999999999998,-0.43
39,Boxing Day,2021-12-28,11.2,0.2
40,New Year’s Day,2022-01-03,12.23,5.05
41,Good Friday,2022-04-15,,
42,Easter Monday,2022-04-18,,
43,Early May bank holiday,2022-05-02,,
44,Spring bank holiday,2022-06-02,,
45,Platinum Jubilee bank holiday,2022-06-03,,
46,Summer bank holiday,2022-08-29,,
47,Boxing Day,2022-12-26,,
48,Christmas Day,2022-12-27,,
49,New Year’s Day,2023-01-02,,
50,Good Friday,2023-04-07,,
51,Easter Monday,2023-04-10,,
52,Early May bank holiday,2023-05-01,,
53,Spring bank holiday,2023-05-29,,
54,Summer bank holiday,2023-08-28,,
55,Christmas Day,2023-12-25,,
56,Boxing Day,2023-12-26,,
